## AdWords/AdSense 广告服务
#2404:6800:4008:c00::62 www.googlesyndication.com
#2404:6800:4008:c00::9a www.googleadservices.com #pagead.l.doubleclick.net
#2404:6800:4008:c00::9a domains.googlesyndication.com #pagead.l.doubleclick.net
2401:3800:4001:806::101a pagead2.googlesyndication.com #pagead46.l.doubleclick.net
2404:6800:4008:c03::70 adwords.google.com #adwords.l.google.com
2404:6800:4008:c03::70 adwords.google.sk #adwords.l.google.com
#2404:6800:4008:c00::9a partner.googleadservices.com #partnerad.l.doubleclick.net
#2404:6800:4008:c00::62 pagead.google.com
#2404:6800:4008:c00::9a pagead2.googleadservices.com #pagead.l.doubleclick.net
2404:6800:4008:c02::69 buttons.googlesyndication.com #www.google.com
2401:3800:4001:11::100a tpc.googlesyndication.com #pagead-googlehosted.l.google.com
2404:6800:4005:807::200e v1.cache1.c.googlesyndication.com
2401:3800:4001:10::1003 v1.cache2.c.googlesyndication.com
2401:3800:4001:11::1003 v1.cache3.c.googlesyndication.com
2401:3800:4001:11::1003 v1.cache4.c.googlesyndication.com
2401:3800:4001:807::1001 v1.cache5.c.googlesyndication.com
2401:3800:4001:807::1002 v1.cache6.c.googlesyndication.com
2401:3800:4001:807::1004 v1.cache7.c.googlesyndication.com
2404:6800:4005:807::200e v1.cache8.c.googlesyndication.com
2401:3800:4001:806::1008 v2.cache1.c.googlesyndication.com
2401:3800:4001:806::1006 v2.cache2.c.googlesyndication.com
2401:3800:4001:11::1002 v2.cache3.c.googlesyndication.com
2401:3800:4001:11::1002 v2.cache4.c.googlesyndication.com
2401:3800:4001:807::1005 v2.cache5.c.googlesyndication.com
2401:3800:4001:807::1006 v2.cache6.c.googlesyndication.com
2404:6800:4005:802::200e v2.cache7.c.googlesyndication.com
2401:3800:4002:802::1003 v2.cache8.c.googlesyndication.com
2404:6800:4005:806::200e v3.cache1.c.googlesyndication.com
2401:3800:4001:11::1009 v3.cache2.c.googlesyndication.com
2401:3800:4001:11::1002 v3.cache3.c.googlesyndication.com
